27-Dec-2023 21:29:02 - num of feature = 2308
27-Dec-2023 21:29:07 - iter: 1/70 time: 1.3082s fit: 0.12221
27-Dec-2023 21:29:08 - iter: 2/70 time: 1.2614s fit: 0.11308
27-Dec-2023 21:29:09 - iter: 3/70 time: 1.3465s fit: 0.099391
27-Dec-2023 21:29:11 - iter: 4/70 time: 1.2402s fit: 0.086982
27-Dec-2023 21:29:12 - iter: 5/70 time: 1.1271s fit: 0.07977
27-Dec-2023 21:29:13 - iter: 6/70 time: 1.1197s fit: 0.072342
27-Dec-2023 21:29:14 - iter: 7/70 time: 1.1795s fit: 0.064232
27-Dec-2023 21:29:15 - iter: 8/70 time: 1.1316s fit: 0.06009
27-Dec-2023 21:29:16 - iter: 9/70 time: 1.1237s fit: 0.058608
27-Dec-2023 21:29:18 - iter: 10/70 time: 1.204s fit: 0.05403
27-Dec-2023 21:29:19 - iter: 11/70 time: 1.1523s fit: 0.055666
27-Dec-2023 21:29:20 - iter: 12/70 time: 1.1099s fit: 0.054148
27-Dec-2023 21:29:21 - iter: 13/70 time: 1.1484s fit: 0.053833
27-Dec-2023 21:29:22 - iter: 14/70 time: 1.1684s fit: 0.054716
27-Dec-2023 21:29:23 - iter: 15/70 time: 1.2198s fit: 0.046478
27-Dec-2023 21:29:24 - iter: 16/70 time: 1.1413s fit: 0.042881
27-Dec-2023 21:29:26 - iter: 17/70 time: 1.1762s fit: 0.04252
27-Dec-2023 21:29:27 - iter: 18/70 time: 1.1463s fit: 0.040266
27-Dec-2023 21:29:28 - iter: 19/70 time: 1.1662s fit: 0.03882
27-Dec-2023 21:29:29 - iter: 20/70 time: 1.1986s fit: 0.036937
27-Dec-2023 21:29:30 - iter: 21/70 time: 1.1009s fit: 0.037383
27-Dec-2023 21:29:31 - iter: 22/70 time: 1.1041s fit: 0.039879
27-Dec-2023 21:29:32 - iter: 23/70 time: 1.106s fit: 0.036263
27-Dec-2023 21:29:34 - iter: 24/70 time: 1.1147s fit: 0.032234
27-Dec-2023 21:29:35 - iter: 25/70 time: 1.1213s fit: 0.033767
27-Dec-2023 21:29:36 - iter: 26/70 time: 1.1054s fit: 0.031119
27-Dec-2023 21:29:37 - iter: 27/70 time: 1.1246s fit: 0.031367
27-Dec-2023 21:29:38 - iter: 28/70 time: 1.112s fit: 0.031313
27-Dec-2023 21:29:39 - iter: 29/70 time: 1.1062s fit: 0.031225
27-Dec-2023 21:29:40 - iter: 30/70 time: 1.1314s fit: 0.035844
27-Dec-2023 21:29:41 - iter: 31/70 time: 1.1088s fit: 0.030373
27-Dec-2023 21:29:43 - iter: 32/70 time: 1.0998s fit: 0.030318
27-Dec-2023 21:29:44 - iter: 33/70 time: 1.1184s fit: 0.029764
27-Dec-2023 21:29:45 - iter: 34/70 time: 1.1008s fit: 0.02745
